stimulus_id,utterance,relations
scene0059_00-doors-4-34-22-31-36,facing the three doors  the door in the middle ,"door-clock,door-chair"
scene0126_00-office_chair-2-30-4,the chair close to the door,chair-door
scene0448_00-door-2-5-6,the door opposite the window ,door-window
scene0272_00-chair-3-5-3-4,the chair in the middle of the room,chair
scene0525_00-book-5-60-30-54-55-59,facing the shelves  the book in the upper left corner ,book-shelf
scene0140_00-door-2-40-34,the door is near the small whiteboard,door-whiteboard
scene0641_00-coffee_table-2-16-17,facing the pictures  the most forward table ,foosball table-pictures
scene0541_00-nightstand-2-0-13,the nightstand on the side of the bed with the plaid pillow,"nightstand-pillow,nightstand-bed"
scene0126_00-monitor-2-9-10,the widescreen  black monitor,"monitor-screen,monitor-object"
scene0341_00-file_cabinet-4-22-20-46-48,the file cabinet in the corner of the room by the green sofa ,file cabinet-sofa
scene0089_00-blackboard-2-10-18,the smaller chalkboard,blackboard
scene0561_00-door-6-23-3-4-5-7-8,open door straight across from stairs ,door-stairs
scene0096_00-door-4-20-0-19-22,the correct door is the one closest to the coats hanging on the wall ,door-coat rack
scene0057_00-cabinet-4-4-8-23-24,the small white cabinet above a pile of junk,cabinet-object
scene0327_00-stool-2-31-29,this stool is fully under the table ,stool-table
scene0646_00-monitor-2-23-19,find the monitor with a couch in front of it ,monitor-couch
scene0397_00-curtain-2-4-5,this curtain is next to a doorway into another room ,curtain-door
scene0281_00-table-2-27-28,choose the table that only has three chairs ,table-chair
scene0310_00-trash_can-3-23-22-24,the tallest trash can close to the cabinets,trash can-cabinets
scene0692_00-chair-5-3-4-5-7-8,the smaller beige chair closest to the large brown chair ,chair-chair
scene0072_00-bag-3-27-17-18,the bag is under the pillow on the floor,"bag-pillow,pillow-floor"
scene0133_00-chair-5-5-2-3-4-20,the chair in the corner of the two red chairs,chair-chair
scene0503_00-couch-2-1-0,stand so that the three plants are to your right  find the couch closest to you ,"stand-couch,stand-plant"
scene0262_00-whiteboard-2-6-5,the correct object is the largest whiteboard ,whiteboard-airplane
scene0521_00-box-2-24-29,box closest to the washroom door,box-bathroom stall door
scene0197_00-trash_can-3-28-7-8,of the two trash cans that are side by side it is the one closest to the desk,"trash can-trash can,trash can-desk"
scene0238_00-monitor-3-2-1-21,a man sits in front of this monitor ,person-monitor
scene0413_00-shoes-5-22-18-19-23-24,facing the shoes the leftmost shoes ,shoes-shoes
scene0521_00-books-4-26-25-28-31,when standing in the middle of the room facing the books  the correct one is on the right and closest to the ceiling ,"airplane-ceiling,books-closet"
scene0184_00-nightstand-2-17-18,the nightstand on the left hand side of the bed,nightstand-bed
scene0034_00-door-2-42-11,the door in front of the bath tub,door-bathtub
scene0361_00-chair-2-12-11,the chair that is farthest from the windows,chair-window
scene0613_00-door-2-8-25,the white door that is main entrance door for the room ,door-desk
scene0028_00-chair-4-10-7-8-9,the correct chair has a bookshelf directly behind it ,chair-bookshelf
scene0239_00-bench-2-12-13,this bench is against a wall ,wall-bench
scene0309_00-book-2-27-26,choose the book closes to the plant ,book-plant
scene0504_00-shelf-3-20-4-24,the shelf directly under the loft,shelf-loft bed
scene0397_00-pillow-2-10-18,the pillow closer to the flower on the wall,pillow-plant
scene0579_00-paper_towel_dispenser-2-10-9,facing the trash can  the leftmost towel dispenser ,dispenser-trash can
scene0162_00-chair-3-0-1-2,the closest chair to the door ,chair-door
scene0554_00-bottle-5-22-23-24-25-43,bottles on the back of the unit,bottles-person
scene0002_00-window-2-38-37,choose the right window ,window
scene0040_00-cup-3-61-14-33,the cup in front of a monitor  with a red teddy bear in the window sill to the right ,"teddy bear-windowsill,cup-monitor"
scene0178_00-chair-3-5-4-36,the chair tucked into the desk under the window,"chair-desk,desk-window"
scene0102_00-door-2-13-24,the door with curtains at the end of the table,"door-curtains,door-table"
scene0058_00-chair-4-5-4-6-11,the chair that is sitting itself,chair-chair
scene0181_00-shelf-2-18-17,this shelf is not the one facing the couch ,shelf-couch
scene0327_00-door-2-2-26,the door next to the brown couch,door-couch
scene0476_00-file_cabinet-3-3-2-18,the file cabinet furthest away from windows,file cabinet-window
scene0016_00-curtain-2-40-44,the smaller curtains of the two ,"object-curtains,curtains-airplane"
scene0448_00-cup-2-17-15,the cup closets to the toilet ,cup-toilet
scene0603_00-bookshelf-3-46-9-18,bookshelf to the left of the tv,bookshelf-tv
scene0601_00-picture-3-9-0-32,the smaller picture above the desk,picture-desk
scene0047_00-door-4-20-15-21-41,the dark brown wall on the right hand side of the doorway that leads to the hallway ,"door-staircase,wall-door"
scene0230_00-desk-2-2-8,the longer desk on the left ,desk-chair
scene0442_00-table-4-9-10-11-12,this table has a round shape and is the closest one for you to view ,table-object
scene0542_00-kitchen_counter-2-12-11,the countertop holding the sink,sink-counter
scene0054_00-door-6-46-43-44-48-49-93,this door is to the left of the small couch which has a blanket and pillow sitting across the top ,"couch-blanket,door-couch,couch-pillow"
scene0443_00-chair-3-7-6-8,chair to your left of the computer,chair-computer tower
scene0254_00-trash_can-2-29-28,the trash can in front of the handicapped stall,trash can-changing station
scene0630_00-monitor-4-1-0-35-36,this monitor is the furthest left and a person is in front of it ,monitor-person
scene0107_00-lamp-3-12-9-21,the lamp that is between the bed and the armchair ,"lamp-bed,lamp-armchair"
scene0026_00-sink-2-15-14,the sink closer to the shower,sink-shower
scene0054_00-chair-2-70-32,the chair in front of the monitor,chair-monitor
scene0515_00-shoes-3-31-30-32,choose the pair of shoes in the middle ,shoes-centerpiece
scene0049_00-curtain-2-23-24,the curtain near the green dresser,curtain-dresser
scene0366_00-sink-2-6-5,facing the sinks  the sink on the left ,sink-sink
scene0367_00-couch-2-2-1,the smaller couch ,airplane
scene0352_00-plant-2-33-22,the correct plant is the one in the corner ,plant
scene0037_00-bookshelf-2-1-2,the booksheelff with red and black books,bookshelf-book
scene0305_00-keyboard-2-19-20,the keyboard closest to the windows with the blinds curtains,"keyboard-window,blinds-curtains,keyboard-blinds"
scene0680_00-chair-5-6-5-7-8-9,when facing the screen on the wall  this chair is at the left side and is pulled closer to the table ,"chair-screen,chair-table"
scene0297_00-chair-4-11-9-10-12,chair directly next to the green table ,chair-table
scene0538_00-trash_can-2-18-19,there are two trash cans next to the sink  pick the trash can that is closer to the mirror ,"trash can-sink,trash can-mirror"
scene0582_00-box-3-48-1-41,the box underneath the sofa,box-sofa
scene0350_00-mirror-2-30-20,the mirror across the room from the sink  next to the brown cabinet with the silver tray on it ,"cabinet-tray,mirror-bed,sink-cabinet"
scene0383_00-printer-2-16-3,the printer is the smaller one of the two  and is located on the side of the table ,printer-table
scene0094_00-sign-2-19-13,the biggest sign,airplane
scene0436_00-kitchen_cabinets-2-13-15,the top cabinets ,airplane
scene0189_00-table-3-26-0-5,this table is closest to the red wall ,table-wall
scene0121_00-door-3-0-1-9,the right panel of the door next to the dresser bureau,"door-fire alarm,changing station-dresser"
scene0109_00-cabinets-2-5-4,the ground level cabinet  nearest the photocopier ,cabinet-copier
scene0352_00-table-2-5-6,the correct table is rectangular ,object-table
scene0058_00-computer_tower-3-39-33-34,the computer tower that is under the desk with two chairs and right next to the wall ,"desk-chair,computer tower-desk,computer tower-wall"
scene0005_00-chair-4-3-4-5-16,there is something on the table in front of chair  this chair is also on the right side ,"chair-air hockey table,table-chair"
scene0320_00-stool-3-46-9-10,the stool is located across from all other stools are  by blue storage shelves,"stool-stools,stools-shelf"
scene0017_00-trash_can-3-20-18-19,the can closest to the door ,can-door
scene0464_00-books-6-44-33-36-43-46-48,these books are on the upper right of the bookcase  when facing it ,books-bookshelf
scene0182_00-picture-4-9-8-10-18,picture at top of stairs,picture-stairs
scene0185_00-door-2-9-24,no furniture is directly blocking this door ,airplane
scene0588_00-cabinet-2-30-44,cabinet is furthest away from the curtains,cabinet-curtains
scene0424_00-book-2-39-51,this book is higher on a shelf ,book-shelf
scene0263_00-box-5-2-1-3-18-29,choose the box on the white table ,box-table
scene0341_00-file_cabinet-4-22-20-46-48,find the file cabinet near the green sofa on the left ,file cabinet-sofa
scene0199_00-armchair-4-6-3-4-5,a person sitting in this chair has a three seat couch to their immediate right ,"person-couch,person-chair"
scene0177_00-chair-3-7-8-9,chair under whiteboard facing towards desks,"chair-desk,chair-whiteboard"
scene0305_00-monitor-4-2-0-1-3,the monitor is on the left side of the room and gray,monitor-bed
scene0547_00-shelf-3-32-3-49,facing the window  the shelf on the left ,shelf-window
scene0107_00-nightstand-2-7-10,when standing in the middle of the room facing the bed  the correct nightstand is on the left  in the corner ,"nightstand-chair,nightstand-object,bed-centerpiece"
scene0047_00-window-3-39-1-38,when looking at all the windows its the one farthest on the right,window-person
scene0408_00-bookshelf-2-5-4,the correct book shelf is double wide and farther from the red wall ,book-shelf
scene0068_00-kitchen_counter-2-35-6,the counter with the kitchen sink,counter-sink
scene0176_00-picture-4-11-12-16-17,second painting to the right of the window,painting-window
scene0537_00-chair-4-10-8-9-12,the second chair at the table from the right,chair-table
scene0309_00-table-2-15-16,table right across from the desk,table-desk
scene0511_00-cabinet-3-6-5-7,it is black and has drawers ,person-drawer
scene0642_00-lamp-2-17-29,lamp between the two beds ,lamp-bed
scene0336_00-picture-5-58-4-8-57-59,the top small picture to the left of the open entrance and right of the tallest bookshelf ,"picture-exit sign,picture-bookshelf"
scene0244_00-table-3-6-5-14,choose the small square table that is closer to the white wall  not the blue wall ,"table-structure,table-wall"
scene0627_00-window-3-41-26-29,facing the side with two windows  the window to the right ,"table-window,window-object"
scene0079_00-table-2-7-8,facing the tables  the table on the right ,table-person
scene0588_00-sofa_chair-6-12-7-8-9-10-11,of the two darkest sofa chairs  the one that is adjacent to two small end tables,chair-end table
scene0656_00-picture-3-28-16-17,the only artwork on this wall,person-wall
scene0093_00-chair-5-20-14-15-16-19,the chair which is in front of the monitor  on the side with the whiteboard on the wall ,"chair-monitor,monitor-whiteboard"
scene0449_00-towel-4-7-5-16-19,the correct towel is hanging on the side of the bath ,towel-bathtub
scene0142_00-window-4-11-14-31-32,the window next to the door,window-door
scene0706_00-picture-3-23-12-13,this picture is not over the bed ,picture-bed
scene0379_00-chair-5-20-16-17-18-19,the chair with no computer in front  at the table,"chair-computer tower,chair-table"
scene0443_00-keyboard-2-17-29,the keyboard in the middle of the room,keyboard-bed
scene0166_00-books-6-45-46-47-48-49-50,the books at the top of the shelf,books-shelf
scene0099_00-chair-4-3-0-1-2,choose the shortest stool at the table ,stool-table
scene0141_00-books-2-42-36,the book farthest from the window ,book-window
scene0114_00-monitor-2-19-17,one of two computer monitors on a office computer desk ,screen-desk
scene0310_00-trash_can-3-22-23-24,facing the cans  the can on the right ,can-person
scene0254_00-trash_can-2-29-28,the trash bin closest to the sink,trash bin-sink
scene0680_00-office_chair-3-3-2-4,the office chair the one on the right when looking at the sliding door,"chair-sliding door,chair-office chair"
scene0310_00-trash_can-3-22-23-24,the small trash can on the floor,trash can-floor
scene0640_00-window-2-41-49,the narrow window to the left of the larger windows ,window-windowsill
scene0369_00-chair-3-12-10-11,black chair on the right in front of window,chair-window
scene0167_00-table-3-7-0-1,the small white table in the middle of the room,table-bed
scene0446_00-soap_dish-2-9-8,pick the soap dish on the right ,soap dish-person
scene0157_00-door-2-8-7,door behind the small shelf,door-shelf
scene0098_00-trash_can-2-41-0,blue trash can next to brown shelf,trash can-shelf
scene0322_00-chair-5-6-2-3-4-5,the white chair by itself in the room,chair-bed
scene0241_00-door-2-22-25,door next to the trash can on the floor,"trash can-floor,door-floor,door-trash can"
scene0200_00-door-2-9-6,facing the cabinet  the door on the right ,door-cabinet
scene0418_00-suitcase-4-14-13-15-16,facing the suitcases  the suitcase in the lower right corner ,suitcases-suitcase
scene0279_00-nightstand-2-6-5,facing the bed  the nightstand on the right ,nightstand-bed
scene0352_00-table-2-6-5,the circular table in the corner,table
scene0601_00-picture-3-0-9-32,the picture closest to the pepsi machine,picture-vending machine
scene0089_00-chair-4-5-6-21-22,the chair closest to the monitor,chair-monitor
scene0263_00-cabinet-2-27-28,the correct cabinet is in the corner  it has a round  waste bin on a desk in front of it ,"trash bin-desk,cabinet-bin"
scene0150_00-chair-6-12-1-8-9-10-11,when looking at the chairs not around the table first  the chair is the one on the right that is the farthest away,"chair-chair,chair-table"
scene0350_00-trash_can-3-24-8-41,tall  dark trash can closest to the sink,trash can-sink
scene0673_00-box-6-5-0-1-2-19-75,the smallest box on the ground,box
scene0296_00-picture-3-5-36-52,the picture hanging above the couch ,picture-couch
scene0258_00-chair-6-3-2-4-5-6-9,face computers  farthest chair to the left,"chair-airplane,person-computer tower"
scene0579_00-mirror-2-16-14,choose the mirror on the left ,mirror-airplane
scene0049_00-pillow-3-14-12-13,the pillow is in the armchair that is in front of a window ,"pillow-armchair,armchair-window"
scene0186_00-cabinet-6-10-12-13-31-32-47,choose the bank of light wood cabinets ,cabinets-vending machine
scene0101_00-backpack-2-66-68,this is a black backpack that is sitting on a brown  2 cushion couch ,backpack-couch
scene0348_00-cabinet-4-11-10-12-14,lower cabinet right next to the fridge ,cabinet-refrigerator
scene0126_00-books-6-35-33-34-36-37-38,on the bookshelf with three books  the middle row of books ,"books-changing station,bookshelf-books"
scene0013_00-armchair-4-3-0-1-2,the darkest colored chair on the dark carpet ,chair-carpet
scene0614_00-monitor-4-19-20-41-42,the correct monitor is the smallest and is near the door ,"monitor-door,monitor-person"
scene0514_00-shelf-2-0-22,shelf across from window,window-shelf
scene0141_00-desk-3-28-11-12,when standing in the middle of the room facing the window the correct desk is the one on the right closest to the window ,"desk-window,desk-centerpiece"
scene0159_00-door-2-6-12,choose the restroom door ,bathroom stall-door
scene0163_00-table-2-12-11,the table that is right against corner wall,table-wall
scene0524_00-door-2-5-11,choose the door furthest from the stairs ,door-stairs
scene0325_00-office_chair-3-24-21-22,grey chair facing small table,chair-table
scene0555_00-stool-2-3-5,the stool closest to the left hand wall,stool-wall
scene0136_00-trash_can-2-11-10,the trash can closest to the door ,trash can-door
scene0280_00-window-2-17-19,the correct window is above the light blue   cyan bed ,window-bed
scene0703_00-end_table-2-5-6,the end table furthest from the black rug and closest to the wall with a picture on it ,"wall-picture,end table-rug,end table-wall"
scene0215_00-window-3-33-25-32,on the side with two windows  the smaller window ,window-window
scene0235_00-table-2-14-12,the table next to the big window,table-window
scene0635_00-shelf-5-34-31-35-38-45,when standing with your back to the door  the correct shelf is in the middle ,"shelf-centerpiece,door-shelf"
scene0255_00-cabinet-6-15-0-1-2-17-18,wall mounted cabinet above printer,cabinet-printer
scene0592_00-window-6-56-10-12-55-57-58,when facing the four windows above desks in a row  this is the 2nd from left ,"desk-teddy bear,window-desk"
scene0152_00-plant-5-13-11-12-27-30,the plant in the corner of the room between the seats and in front of the standing sign ,"plant-desk,plant-sign,plant-seat"
scene0654_00-oven-2-18-8,it is the lower oven ,oven
scene0542_00-kitchen_cabinet-2-22-3,the kitchen cabinet above the refrigerator ,kitchen cabinet-refrigerator
scene0213_00-armchair-2-1-0,the chair with the stool in front of it,chair-stool
scene0031_00-ottoman-4-1-2-3-4,the table in between the chair with the pattern and the beige couch,"table-chair,table-couch"
scene0503_00-table-5-10-6-7-8-11,the table by wall closest to door,"table-wall,wall-door"
scene0054_00-trash_can-3-81-80-82,the trash can not under the two windows ,trash can-window
scene0541_00-picture-5-24-19-20-21-23,the largest picture on the dresser ,picture-dresser
scene0014_00-sink-2-28-29,choose the sink closest to the toilet ,sink-toilet
scene0554_00-trash_can-2-20-21,it is the trash can farthest from the door and next to the desk ,"trash can-desk,trash can-door"
scene0070_00-picture-4-19-18-20-21,the bottom right picture that is above a pot with a flower in it,"picture-pot,pot-plant"
scene0352_00-picture-4-26-19-27-28,the picture above the rectangular desk closest to the window,"picture-desk,desk-window"
scene0603_00-window-5-34-33-35-36-37,when facing the row of windows  this one is 2nd from left ,table-pool table
scene0451_00-picture-4-49-24-41-50,on the wall with two pictures in the main room  it is the one closest to the two doors ,"wall-doors,wall-pictures"
scene0017_00-file_cabinet-2-25-28,if you are looking at the windows  it is the file cabinet on your left ,file cabinet-window
scene0005_00-chair-4-3-4-5-16,if you stand facing the yellow wall  the chair is the second one on the left ,chair-wall
scene0101_00-backpack-2-68-66,there is a sofa  it has a pillow and a backpack on it  pick the backpack ,"sofa-pillow,sofa-backpack"
scene0687_00-window-2-4-19,the window above the trash cans,window-trash bin
scene0296_00-backpack-3-34-25-40,the backpack closest to the bed ,backpack-bed
scene0158_00-kitchen_cabinets-4-25-3-4-6,the brown cabinets above the kitchen sink,cabinets-sink
scene0028_00-chair-4-10-7-8-9,the correct chair is the one with a bookshelf directly behind it ,chair-bookshelf
scene0374_00-couch-4-12-13-14-15,the 3 seat couch with 2 green yellow pillows,"pillow-pillow,couch-pillow"
scene0012_00-door-3-24-14-16,looking at the brown door  choose the middle door set on the right ,"bookshelf-air hockey table,door-centerpiece"
scene0627_00-picture-6-40-24-25-38-39-43,the two pictures in the middle of wall   it is the smaller one,"pictures-wall,pictures-person"
scene0140_00-trash_can-2-32-31,the trash can closest to the door,trash can-door
scene0274_00-chair-4-4-2-3-5,chair closest to the window,chair-window
scene0477_00-door-2-17-19,it is the door out  not the door to the bathroom ,"door-toilet,door-object"
scene0455_00-table-2-0-1,the table farthest to the right from the door ,table-door
scene0515_00-bar-4-70-59-62-71,this bar is on top of another bar closest to the orange towel ,"bar-bar,bar-towel"
scene0178_00-lamp-5-9-8-10-18-19,the floor lamp next to the red easy chair in front of the windows and closest to the bed  ,"lamp-bed,armchair-window,lamp-armchair"
scene0582_00-keyboard-3-30-28-29,the keyboard on the smaller desk,keyboard-desk
scene0075_00-office_chair-4-5-4-6-7,the office chair close to the small white board,chair-whiteboard eraser
scene0238_00-chair-3-10-9-11,the chair at the desk that is next to the full wall shelf,"desk-shelf,chair-desk"
scene0143_00-curtain-2-5-6,the curtains farthest from the lamp in the corner,curtains-lamp
scene0209_00-door-2-36-35,the door that is on the same side as television stand computer table ,"door-tv stand,door-desk"
scene0642_00-trash_can-2-26-8,the correct trash can is not in the washroom ,person
scene0150_00-chair-6-8-1-9-10-11-12,looking at the room with the long white wall to your left  the chair is the last one on the right ,"wall-closet,chair-person"
scene0186_00-plant-2-42-20,plant by the window on the sill,"plant-window,window-object"
scene0352_00-table-2-5-6,the long rectangle table,dining table
scene0577_00-cabinet-2-7-5,the tall white cabinets,airplane
scene0539_00-bottle-5-20-34-36-40-41,it is the only bottle near the bathroom sink ,bottle-sink
scene0418_00-chair-2-28-0,the chair in the middle of the room,chair
scene0047_00-window-3-1-38-39,the window that sits apart from the other 2 windows ,"window-windowsill,window-alarm clock"
scene0202_00-picture-2-7-8,blue picture above the sofa,picture-sofa
scene0045_00-chair-2-1-2,face the sofa and then look at the seat to the left ,sofa-seat
scene0692_00-chair-5-3-4-5-7-8,the chair at the round table facing the bookshelf,"table-bookshelf,chair-table"
scene0309_00-picture-2-60-62,when standing in the middle of the room facing the two paintings the correct one is on the left ,"air hockey table-airplane,picture-chair"
scene0040_00-monitor-4-2-1-32-60,this monitor has a lot of pictures hanging above it,monitor-pictures
scene0395_00-monitor-4-32-0-25-33,this monitor is at an angle and is closest to the filing cabinet with the orange file on top ,"file cabinet-file cabinet,monitor-file cabinet"
scene0002_00-chair-3-19-18-20,the grey and brown chair,chair
scene0467_00-cabinet-2-17-33,the cabinet closest to the sofa ,cabinet-sofa
scene0177_00-monitor-4-3-23-25-30,when standing in the middle of the room facing the windows  the correct monitor is the one on the left   closest to the window ,monitor-window
scene0524_00-door-2-11-5,door where its handle is lower than the other one,"door-air hockey table,person-mat"
scene0194_00-box-2-10-19,choose the box on the floor between the shelf and the black couch ,"box-couch,box-shelf,box-floor"
scene0178_00-pillow-2-17-24,the pillow on the right bed with the guy in the green shirt ,"person-shirt,bed-person,pillow-bed"
scene0521_00-dresser-2-11-10,dresser to the left of the bed,dresser-bed
scene0035_00-door-2-16-13,white door next to brown dresser,door-dresser
scene0089_00-chair-4-6-5-21-22,find the chair that is at the desk under the chalkboard,"chair-desk,desk-blackboard"
scene0101_00-kitchen_cabinets-2-43-79,the cabinets nearest the floor are the correct cabinets ,cabinets-table
scene0239_00-end_table-2-19-14,a yellow ottoman is in front of this table ,ottoman-table
scene0635_00-box-5-1-5-25-28-37,box near brown filing cabniet,box-file cabinet
scene0379_00-radiator-2-21-22,when entering the room  this radiator is on the left ,radiator-bed
scene0271_00-picture-5-27-16-28-32-38,the photo hanging on the wall above the desk and chair  to the right of the bed ,"photo-desk,desk-bed,chair-bed,photo-wall,photo-chair"
scene0206_00-chair-5-2-3-4-5-31,chair beside computer  not in front of it,chair-computer tower
scene0305_00-cabinet-6-31-13-14-16-23-24,this is a small white filing cabinet located next to a blue rolling office chair and under a dry erase board ,"file cabinet-office chair,cabinet-whiteboard"
scene0667_00-table-5-7-4-5-6-26,position the view so you are inside the room  the table you want is on the top left ,table-airplane
scene0312_00-table-2-12-8,it is the table farthest away from the couch ,table-couch
scene0341_00-keyboard-3-23-31-49,the keyboard closest to the michael jackson poster ,keyboard-poster
scene0012_00-armchair-4-5-3-4-6,the brown leather chair closest to the rug ,chair-rug
scene0136_00-trash_can-2-11-10,the smaller can by the door ,can-door
scene0106_00-whiteboard-2-35-36,the larger whiteboard ,airplane
scene0116_00-towel-5-18-4-7-15-16,towel above toilet to the right under a towel,"towel-towel,towel-toilet"
scene0703_00-end_table-2-6-5,this end table is not in the corner ,table
scene0110_00-radiator-2-19-17,if you are facing the windows  it is the radiator on the left ,radiator-window
scene0387_00-table-4-13-11-12-14,the small white table in front of the red chair next to the window ,"table-window,table-chair"
scene0517_00-monitor-2-64-23,the monitor farthest from the door  it is on the desk on the left side of the room if you are facing the door ,"monitor-desk,desk-bed"
scene0137_00-pillow-5-7-8-13-14-18,on the left bed  there are 3 pillows  choose the one that is propped up against the headboard ,"pillow-bed,pillow-headboard"
scene0197_00-trash_can-3-7-8-28,the trash can in the corner closest to the wall with the open door ,"trash can-barrier,wall-door,person-wall"
scene0213_00-couch-2-12-11,the blue couch with the white pillows,couch-pillows
scene0301_00-plant-3-5-6-22,it is the plant sitting next to a small stool and standing in front of a rug ,"plant-stool,plant-rug"
scene0477_00-picture-3-21-6-27,facing the foot of the bed  the rightmost picture ,picture-bed
scene0098_00-chair-4-24-2-25-26,this chair is not at the end of the row  but it does face the table ,chair-table
scene0540_00-trash_can-2-37-24,the trash can next to the sofa,trash can-sofa
scene0505_00-window-3-3-2-26,the window in the cubicle with two chairs,"desk-chair,window-desk"
scene0261_00-light-2-29-28,the light to the right of the mirror ,light-mirror
scene0227_00-table-2-3-2,the round table near the door,table-door
scene0449_00-toilet_paper-2-14-11,the roll of toilet paper directly above the toilet on the right side ,toilet paper-toilet
scene0397_00-picture-3-15-12-26,the picture hanging above the bed ,picture-bed
scene0220_00-window-2-5-20,the window directly above the sink,window-sink
scene0492_00-bar-3-19-18-20,its the horizontal metal bar on the side of the handicap stall with the toilet paper roll below it ,"bar-toilet paper,bar-changing station"
scene0341_00-file_cabinet-4-20-22-46-48,the cabinet underneath a pair of headphones,cabinet-headphones
scene0679_00-lamp-4-19-6-18-38,lamp on stand beside bed closest to curtain,"lamp-stand,stand-bed,bed-curtain"
scene0673_00-box-6-1-0-2-5-19-75,the large square brown box on the floor,box-floor
scene0279_00-lamp-4-19-21-22-25,the lamp on the desk in the corner of the room,lamp-desk
scene0487_00-trash_can-3-5-10-11,the trash bin closest to the sink,trash bin-sink
scene0425_00-dresser-2-19-30,the dresser in the corner of the room,dresser
scene0294_00-chair-6-26-22-23-24-25-27,the chair in the center of the table closest to the television,"table-tv,chair-table"
scene0330_00-coffee_table-4-16-3-5-17,facing the blue coffee tables  the table on the right,"table-air hockey table,table-dining table"
scene0002_00-cabinet-4-33-31-34-35,the white cabinet with an orange and a teal box on top ,"box-box,cabinet-box"
scene0213_00-chair-3-34-2-33,the chair farthest from the blue couch ,chair-couch
scene0119_00-towel-2-15-14,the towel closest the bathroom sink,towel-sink
scene0424_00-bookshelf-3-40-15-16,facing the door  the bookshelf on the right ,bookshelf-door
scene0186_00-window-2-7-2,the correct window has a white shade pulled down in front of it  it is in the room with the colored books ,window-bed
scene0297_00-couch-2-6-5,the 3 cushioned couch closest to the blue ottoman,couch-ottoman
scene0679_00-lamp-4-38-6-18-19,the lamp is above the chair,lamp-chair
scene0151_00-door-4-18-34-37-39,it is the door on its own  to the left of the television ,door-tv
scene0592_00-armchair-3-46-15-17,this armchair sits with its back to a table and facing another table ,armchair-table
scene0617_00-plant-2-21-22,find the plant directly behind the corner section of the sofa ,plant-sofa
scene0646_00-box-2-39-38,the box that is down on the floor ,box-floor
scene0186_00-cabinet-6-12-10-13-31-32-47,the short cabinets that are beneath 3 small pictures and a light mounted on the wall ,"cabinets-light,cabinets-pictures"
scene0299_00-stool-2-11-17,stool under the table ,stool-table
scene0361_00-chair-2-11-12,the chair that is closer to the window,chair-window
scene0590_00-door-2-58-20,its the door that leads into the hotel bathroom ,door-bathroom vanity
scene0611_00-window-3-19-0-1,the small vertical window,airplane
scene0656_00-door-2-10-38,facing the bed the leftmost door ,bed-door
scene0436_00-trash_can-6-23-0-1-2-3-11,the smallest trash can ,airplane
scene0641_00-picture-2-13-12,facing the two pictures  the picture to the left ,"picture-exercise ball,picture-pictures"
scene0309_00-person-2-24-54,this person has a white shirt ,person-shirt
scene0515_00-shelf-2-1-76,the shelf is near the keyboard,shelf-keyboard
scene0128_00-coffee_table-2-12-13,the table closest to the 3 seater red couch ,table-couch
scene0476_00-keyboard-2-27-23,a blue folder or bag is next to this keyboard ,folder-keyboard
scene0042_00-bathroom_stall_door-2-1-15,the door closest to the toilet,door-toilet
scene0167_00-door-3-18-23-32,when looking at the long couch  choose the door on the right ,couch-door
scene0049_00-curtain-2-23-24,the curtain closer to the ottoman and couch,"curtain-couch,curtain-ottoman"
scene0209_00-door-2-35-36,the door with a mirror on it and closer to the beds ,"door-bed,door-mirror"
scene0501_00-sink-2-38-37,facing the sinks  the sink on the right ,"sink-sink,sink-person"
scene0601_00-table-3-24-25-31,the desk directly below whiteboard with writing on it,desk-whiteboard
scene0477_00-picture-3-21-6-27,the picture on the wall right at the end of the room  nearest the door outside ,"picture-wall,wall-bed"
scene0605_00-shoes-2-19-18,the correct shoe box is the box furthest from the front end of the car ,box-car
scene0333_00-chair-2-11-2,someone is sitting in this chair ,chair-person
scene0694_00-window-3-19-17-20,the middle set of windows ,centerpiece-window
scene0666_00-bookshelf-2-69-68,facing the desk  the rightmost bookshelf ,desk-bookshelf
scene0241_00-books-6-7-8-9-26-27-28,the books on the middle shelf next to the door,"shelf-door,books-shelf"
scene0614_00-office_chair-4-1-0-2-3,when standing in the middle of the room facing the window  the correct office chair is on the right closest to the window ,chair-window
scene0325_00-office_chair-3-22-21-24,this chair is pulled up to and under one end of the table ,"chair-end table,chair-table"
scene0002_00-door-4-13-11-12-14,facing the window  the correct door is at the right in the corner of the room,"door-object,door-window"
scene0150_00-chair-6-1-8-9-10-11-12,the correct chair is the middle chair that is closest to the white board ,"chair-chair,chair-blackboard"
scene0012_00-door-3-16-14-24,the correct door is in the corner and beside the tall black shelf ,door-shelf
scene0250_00-storage_bin-2-29-28,the storage bin on the ground at the bottom of the stack,storage bin-stack of chairs
scene0089_00-trash_can-2-12-11,the trash can next to the chalkboard,trash can-blackboard
scene0635_00-shelf-5-34-31-35-38-45,the middle shelf has two white boxes under a large black item,"changing station-air hockey table,changing station-table"
scene0630_00-backpack-2-24-39,the backpack in the middle of the room,backpack-bed
scene0320_00-monitor-3-30-18-34,on the long counter  choose the monitor that is the furthest from the separate wooden desk ,"desk-counter,monitor-counter"
scene0263_00-chair-4-17-14-15-16,the chair is against the wall with the whiteboard  it is to the far left of the white board ,"whiteboard-wall,chair-whiteboard,chair-wall"
